"datetime","Measured_Illuminance"
2023-12-09 14:34:41,500 lux
2023-12-09 14:34:42,500 lux
2023-12-09 14:34:43,500 lux
2023-12-09 14:34:44,500 lux
2023-12-09 14:34:45,500 lux
2023-12-09 14:34:46,500 lux
2023-12-09 14:34:47,500 lux
2023-12-09 14:34:48,500 lux
2023-12-09 14:34:49,500 lux
2023-12-09 14:34:50,500 lux
2023-12-09 14:34:51,500 lux
2023-12-09 14:34:52,500 lux
2023-12-09 14:34:53,500 lux
2023-12-09 14:34:54,500 lux
2023-12-09 14:34:55,500 lux
2023-12-09 14:34:56,500 lux
2023-12-09 14:34:57,500 lux
2023-12-09 14:34:58,500 lux
2023-12-09 14:34:59,500 lux
2023-12-09 14:35:00,500 lux
2023-12-09 14:35:01,500 lux
2023-12-09 14:35:02,500 lux
2023-12-09 14:35:03,500 lux
2023-12-09 14:35:04,500 lux
2023-12-09 14:35:05,500 lux
2023-12-09 14:35:06,500 lux
2023-12-09 14:35:07,500 lux
2023-12-09 14:35:08,500 lux
2023-12-09 14:35:09,500 lux
2023-12-09 14:35:10,500 lux
2023-12-09 14:35:11,500 lux
2023-12-09 14:35:12,500 lux
2023-12-09 14:35:13,500 lux
2023-12-09 14:35:14,450 lux
2023-12-09 14:35:15,400 lux
2023-12-09 14:35:16,350 lux
2023-12-09 14:35:17,300 lux
2023-12-09 14:35:18,250 lux
2023-12-09 14:35:19,200 lux
2023-12-09 14:35:20,150 lux
2023-12-09 14:35:21,150 lux
2023-12-09 14:35:22,150 lux
2023-12-09 14:35:23,150 lux
2023-12-09 14:35:24,150 lux
2023-12-09 14:35:25,150 lux
2023-12-09 14:35:26,150 lux
2023-12-09 14:35:27,150 lux
2023-12-09 14:35:28,150 lux
2023-12-09 14:35:29,150 lux
2023-12-09 14:35:30,150 lux
2023-12-09 14:35:31,150 lux
2023-12-09 14:35:32,150 lux
2023-12-09 14:35:33,150 lux
2023-12-09 14:35:34,150 lux
2023-12-09 14:35:35,150 lux
2023-12-09 14:35:36,150 lux
2023-12-09 14:35:37,150 lux
2023-12-09 14:35:38,150 lux
2023-12-09 14:35:39,150 lux
2023-12-09 14:35:40,150 lux
2023-12-09 14:35:41,150 lux
2023-12-09 14:35:42,150 lux
2023-12-09 14:35:43,150 lux
2023-12-09 14:35:44,150 lux
2023-12-09 14:35:45,150 lux
2023-12-09 14:35:46,150 lux
2023-12-09 14:35:47,150 lux
2023-12-09 14:35:48,150 lux
2023-12-09 14:35:49,150 lux
2023-12-09 14:35:50,150 lux
2023-12-09 14:35:51,150 lux
2023-12-09 14:35:52,150 lux
2023-12-09 14:35:53,150 lux
2023-12-09 14:35:54,150 lux
2023-12-09 14:35:55,150 lux
2023-12-09 14:35:56,150 lux
2023-12-09 14:35:57,150 lux
2023-12-09 14:35:58,150 lux
2023-12-09 14:35:59,150 lux
2023-12-09 14:36:00,150 lux
2023-12-09 14:36:01,150 lux
2023-12-09 14:36:02,150 lux
2023-12-09 14:36:03,150 lux
2023-12-09 14:36:04,150 lux
2023-12-09 14:36:05,150 lux
2023-12-09 14:36:06,150 lux
2023-12-09 14:36:07,150 lux
2023-12-09 14:36:08,150 lux
2023-12-09 14:36:09,150 lux
2023-12-09 14:36:10,150 lux
2023-12-09 14:36:11,150 lux
2023-12-09 14:36:12,150 lux
2023-12-09 14:36:13,150 lux
2023-12-09 14:36:14,150 lux
2023-12-09 14:36:15,150 lux
2023-12-09 14:36:16,150 lux
2023-12-09 14:36:17,150 lux
2023-12-09 14:36:18,150 lux
2023-12-09 14:36:19,150 lux
2023-12-09 14:36:20,150 lux
2023-12-09 14:36:21,150 lux
2023-12-09 14:36:22,150 lux
2023-12-09 14:36:23,150 lux
2023-12-09 14:36:24,150 lux
2023-12-09 14:36:25,150 lux
2023-12-09 14:36:26,150 lux
2023-12-09 14:36:27,150 lux
2023-12-09 14:36:28,150 lux
2023-12-09 14:36:29,150 lux
2023-12-09 14:36:30,150 lux
2023-12-09 14:36:31,150 lux
2023-12-09 14:36:32,150 lux
2023-12-09 14:36:33,150 lux
2023-12-09 14:36:34,150 lux
2023-12-09 14:36:35,150 lux
2023-12-09 14:36:36,150 lux
2023-12-09 14:36:37,150 lux
2023-12-09 14:36:38,150 lux
2023-12-09 14:36:39,150 lux
2023-12-09 14:36:40,150 lux
2023-12-09 14:36:41,150 lux
2023-12-09 14:36:42,150 lux
2023-12-09 14:36:43,150 lux
2023-12-09 14:36:44,150 lux
2023-12-09 14:36:45,150 lux
2023-12-09 14:36:46,150 lux
2023-12-09 14:36:47,150 lux
2023-12-09 14:36:48,150 lux
2023-12-09 14:36:49,150 lux
2023-12-09 14:36:50,150 lux
2023-12-09 14:36:51,150 lux
2023-12-09 14:36:52,150 lux
2023-12-09 14:36:53,150 lux
2023-12-09 14:36:54,150 lux
2023-12-09 14:36:55,150 lux
2023-12-09 14:36:56,150 lux
2023-12-09 14:36:57,150 lux
2023-12-09 14:36:58,150 lux
2023-12-09 14:36:59,150 lux
2023-12-09 14:37:00,150 lux
2023-12-09 14:37:01,150 lux
2023-12-09 14:37:02,150 lux
2023-12-09 14:37:03,150 lux
2023-12-09 14:37:04,200 lux
2023-12-09 14:37:05,250 lux
2023-12-09 14:37:06,250 lux
2023-12-09 14:37:07,300 lux
2023-12-09 14:37:08,350 lux
2023-12-09 14:37:09,400 lux
2023-12-09 14:37:10,450 lux
2023-12-09 14:37:11,500 lux
2023-12-09 14:37:12,550 lux
2023-12-09 14:37:13,600 lux
2023-12-09 14:37:14,650 lux
2023-12-09 14:37:15,700 lux
2023-12-09 14:37:16,750 lux
2023-12-09 14:37:17,800 lux
2023-12-09 14:37:18,850 lux
2023-12-09 14:37:19,900 lux
2023-12-09 14:37:20,950 lux
2023-12-09 14:37:21,1000 lux
2023-12-09 14:37:22,1000 lux
2023-12-09 14:37:23,1000 lux
2023-12-09 14:37:24,1000 lux
2023-12-09 14:37:25,1000 lux
2023-12-09 14:37:26,1000 lux
2023-12-09 14:37:27,1000 lux
2023-12-09 14:37:28,1000 lux
2023-12-09 14:37:29,1000 lux
2023-12-09 14:37:30,1000 lux
2023-12-09 14:37:31,1000 lux
2023-12-09 14:37:32,1000 lux
2023-12-09 14:37:33,1000 lux
2023-12-09 14:37:34,1000 lux
2023-12-09 14:37:35,1000 lux
2023-12-09 14:37:36,1000 lux
2023-12-09 14:37:37,1000 lux
2023-12-09 14:37:38,1000 lux
2023-12-09 14:37:39,1000 lux
2023-12-09 14:37:40,1000 lux
2023-12-09 14:37:41,1000 lux
2023-12-09 14:37:42,1000 lux
2023-12-09 14:37:43,1000 lux
2023-12-09 14:37:44,1000 lux
2023-12-09 14:37:45,1000 lux
2023-12-09 14:37:46,1000 lux
2023-12-09 14:37:47,1000 lux
2023-12-09 14:37:48,1000 lux
2023-12-09 14:37:49,1000 lux
2023-12-09 14:37:50,1000 lux
2023-12-09 14:37:51,1000 lux
2023-12-09 14:37:52,1000 lux
2023-12-09 14:37:53,1000 lux
2023-12-09 14:37:54,1000 lux
2023-12-09 14:37:55,1000 lux
2023-12-09 14:37:56,1000 lux
2023-12-09 14:37:57,1000 lux
2023-12-09 14:37:58,1000 lux
2023-12-09 14:37:59,1000 lux
2023-12-09 14:38:00,1000 lux
2023-12-09 14:38:01,1000 lux
2023-12-09 14:38:02,1000 lux
2023-12-09 14:38:03,1000 lux
2023-12-09 14:38:04,1000 lux
2023-12-09 14:38:05,1000 lux
2023-12-09 14:38:06,1000 lux
2023-12-09 14:38:07,1000 lux
2023-12-09 14:38:08,1000 lux
2023-12-09 14:38:09,1000 lux
2023-12-09 14:38:10,1000 lux
2023-12-09 14:38:11,1000 lux
2023-12-09 14:38:12,1000 lux
2023-12-09 14:38:13,1000 lux
2023-12-09 14:38:14,1000 lux
2023-12-09 14:38:15,1000 lux
2023-12-09 14:38:16,1000 lux
2023-12-09 14:38:17,1000 lux
2023-12-09 14:38:18,1000 lux
2023-12-09 14:38:19,1000 lux
2023-12-09 14:38:20,1000 lux
2023-12-09 14:38:21,1000 lux
2023-12-09 14:38:22,1000 lux
2023-12-09 14:38:23,1000 lux
2023-12-09 14:38:24,1000 lux
2023-12-09 14:38:25,1000 lux
2023-12-09 14:38:26,1000 lux
2023-12-09 14:38:27,1000 lux
2023-12-09 14:38:28,1000 lux
2023-12-09 14:38:29,1000 lux
2023-12-09 14:38:30,1000 lux
2023-12-09 14:38:31,1000 lux
2023-12-09 14:38:32,1000 lux
2023-12-09 14:38:33,1000 lux
2023-12-09 14:38:34,1000 lux
2023-12-09 14:38:35,1000 lux
2023-12-09 14:38:36,1000 lux
2023-12-09 14:38:37,1000 lux
2023-12-09 14:38:38,1000 lux
2023-12-09 14:38:39,1000 lux
2023-12-09 14:38:40,1000 lux
2023-12-09 14:38:41,1000 lux
2023-12-09 14:38:42,1000 lux
2023-12-09 14:38:43,1000 lux
2023-12-09 14:38:44,1000 lux
2023-12-09 14:38:45,1000 lux
2023-12-09 14:38:46,1000 lux
2023-12-09 14:38:47,1000 lux
2023-12-09 14:38:48,1000 lux
2023-12-09 14:38:49,1000 lux
2023-12-09 14:38:50,1000 lux
2023-12-09 14:38:51,1000 lux
2023-12-09 14:38:52,1000 lux
2023-12-09 14:38:53,1000 lux
2023-12-09 14:38:54,1000 lux
2023-12-09 14:38:55,1000 lux
2023-12-09 14:38:56,1000 lux
2023-12-09 14:38:57,1000 lux
2023-12-09 14:38:58,1000 lux
2023-12-09 14:38:59,1000 lux
2023-12-09 14:39:00,1000 lux
2023-12-09 14:39:01,1000 lux
2023-12-09 14:39:02,1000 lux
2023-12-09 14:39:03,1000 lux
2023-12-09 14:39:04,1000 lux
2023-12-09 14:39:05,1000 lux
2023-12-09 14:39:06,1000 lux
2023-12-09 14:39:07,1000 lux
2023-12-09 14:39:08,1000 lux
2023-12-09 14:39:09,1000 lux
2023-12-09 14:39:10,1000 lux
2023-12-09 14:39:11,1000 lux
2023-12-09 14:39:12,1000 lux
2023-12-09 14:39:13,1000 lux
2023-12-09 14:39:14,1000 lux
2023-12-09 14:39:15,1000 lux
2023-12-09 14:39:16,1000 lux
2023-12-09 14:39:17,1000 lux
2023-12-09 14:39:18,1000 lux
2023-12-09 14:39:19,1000 lux
2023-12-09 14:39:20,1000 lux
2023-12-09 14:39:21,1000 lux
2023-12-09 14:39:22,1000 lux
2023-12-09 14:39:23,1000 lux
2023-12-09 14:39:24,1000 lux
2023-12-09 14:39:25,950 lux
2023-12-09 14:39:26,900 lux
2023-12-09 14:39:27,850 lux
2023-12-09 14:39:28,800 lux
2023-12-09 14:39:29,750 lux
2023-12-09 14:39:30,700 lux
2023-12-09 14:39:31,650 lux
2023-12-09 14:39:32,600 lux
2023-12-09 14:39:33,550 lux
2023-12-09 14:39:34,500 lux
2023-12-09 14:39:35,450 lux
2023-12-09 14:39:36,400 lux
2023-12-09 14:39:37,350 lux
2023-12-09 14:39:38,300 lux
2023-12-09 14:39:39,250 lux
2023-12-09 14:39:40,200 lux
2023-12-09 14:39:41,150 lux
2023-12-09 14:39:42,100 lux
2023-12-09 14:39:43,50 lux
2023-12-09 14:39:44,50 lux
2023-12-09 14:39:45,50 lux
2023-12-09 14:39:46,50 lux
2023-12-09 14:39:47,50 lux
2023-12-09 14:39:48,50 lux
2023-12-09 14:39:49,50 lux
2023-12-09 14:39:50,50 lux
2023-12-09 14:39:51,50 lux
2023-12-09 14:39:52,50 lux
2023-12-09 14:39:53,50 lux
2023-12-09 14:39:54,50 lux
2023-12-09 14:39:55,50 lux
2023-12-09 14:39:56,50 lux
2023-12-09 14:39:57,50 lux
2023-12-09 14:39:58,50 lux
2023-12-09 14:39:59,50 lux
2023-12-09 14:40:00,50 lux
2023-12-09 14:40:01,50 lux
2023-12-09 14:40:02,50 lux
2023-12-09 14:40:03,50 lux
2023-12-09 14:40:04,50 lux
2023-12-09 14:40:05,50 lux
2023-12-09 14:40:06,50 lux
2023-12-09 14:40:07,50 lux
2023-12-09 14:40:08,50 lux
2023-12-09 14:40:09,50 lux
2023-12-09 14:40:10,50 lux
2023-12-09 14:40:11,50 lux
2023-12-09 14:40:12,50 lux
2023-12-09 14:40:13,50 lux
2023-12-09 14:40:14,50 lux
2023-12-09 14:40:15,50 lux
2023-12-09 14:40:16,50 lux
2023-12-09 14:40:17,50 lux
2023-12-09 14:40:18,50 lux
2023-12-09 14:40:19,50 lux
2023-12-09 14:40:20,50 lux
2023-12-09 14:40:21,50 lux
2023-12-09 14:40:22,50 lux
2023-12-09 14:40:23,50 lux
2023-12-09 14:40:24,50 lux
2023-12-09 14:40:25,50 lux
2023-12-09 14:40:26,50 lux
2023-12-09 14:40:27,50 lux
2023-12-09 14:40:28,50 lux
2023-12-09 14:40:29,50 lux
2023-12-09 14:40:30,50 lux
2023-12-09 14:40:31,50 lux
2023-12-09 14:40:32,50 lux
2023-12-09 14:40:33,50 lux
2023-12-09 14:40:34,50 lux
2023-12-09 14:40:35,50 lux
2023-12-09 14:40:36,50 lux
2023-12-09 14:40:37,50 lux
2023-12-09 14:40:38,50 lux
2023-12-09 14:40:39,50 lux
2023-12-09 14:40:40,50 lux
2023-12-09 14:40:41,50 lux
2023-12-09 14:40:42,50 lux
2023-12-09 14:40:43,50 lux
2023-12-09 14:40:44,50 lux
2023-12-09 14:40:45,50 lux
2023-12-09 14:40:46,50 lux
2023-12-09 14:40:47,50 lux
2023-12-09 14:40:48,50 lux
2023-12-09 14:40:49,50 lux
2023-12-09 14:40:50,50 lux
2023-12-09 14:40:51,50 lux
2023-12-09 14:40:52,50 lux
2023-12-09 14:40:53,50 lux
2023-12-09 14:40:54,50 lux
2023-12-09 14:40:55,50 lux
2023-12-09 14:40:56,50 lux
2023-12-09 14:40:57,50 lux
2023-12-09 14:40:58,50 lux
2023-12-09 14:40:59,50 lux

