"datetime","Measured_Temperature"
2023-12-09 14:34:25,19.91 °C
2023-12-09 14:34:26,19.90 °C
2023-12-09 14:34:27,19.91 °C
2023-12-09 14:34:28,19.90 °C
2023-12-09 14:34:29,19.91 °C
2023-12-09 14:34:30,19.90 °C
2023-12-09 14:34:31,19.91 °C
2023-12-09 14:34:32,19.90 °C
2023-12-09 14:34:33,19.91 °C
2023-12-09 14:34:34,19.90 °C
2023-12-09 14:34:35,19.91 °C
2023-12-09 14:34:36,19.90 °C
2023-12-09 14:34:37,19.91 °C
2023-12-09 14:34:38,19.90 °C
2023-12-09 14:34:39,19.91 °C
2023-12-09 14:34:40,19.90 °C
2023-12-09 14:34:41,19.91 °C
2023-12-09 14:34:42,19.90 °C
2023-12-09 14:34:43,19.91 °C
2023-12-09 14:34:44,19.90 °C
2023-12-09 14:34:45,19.91 °C
2023-12-09 14:34:46,19.90 °C
2023-12-09 14:34:47,19.89 °C
2023-12-09 14:34:48,19.90 °C
2023-12-09 14:34:49,19.91 °C
2023-12-09 14:34:50,19.93 °C
2023-12-09 14:34:51,19.92 °C
2023-12-09 14:34:52,19.90 °C
2023-12-09 14:34:53,19.91 °C
2023-12-09 14:34:54,19.90 °C
2023-12-09 14:34:55,19.91 °C
2023-12-09 14:34:56,19.90 °C
2023-12-09 14:34:57,19.91 °C
2023-12-09 14:34:58,19.90 °C
2023-12-09 14:34:59,19.91 °C
2023-12-09 14:35:00,19.91 °C
2023-12-09 14:35:01,19.89 °C
2023-12-09 14:35:02,19.90 °C
2023-12-09 14:35:03,19.92 °C
2023-12-09 14:35:04,19.91 °C
2023-12-09 14:35:05,19.89 °C
2023-12-09 14:35:06,19.90 °C
2023-12-09 14:35:07,19.92 °C
2023-12-09 14:35:08,19.91 °C
2023-12-09 14:35:09,19.90 °C
2023-12-09 14:35:10,19.90 °C
2023-12-09 14:35:11,19.92 °C
2023-12-09 14:35:12,19.91 °C
2023-12-09 14:35:13,19.93 °C
2023-12-09 14:35:14,19.97 °C
2023-12-09 14:35:15,20.01 °C
2023-12-09 14:35:16,20.04 °C
2023-12-09 14:35:17,20.08 °C
2023-12-09 14:35:18,20.12 °C
2023-12-09 14:35:19,20.16 °C
2023-12-09 14:35:20,20.20 °C
2023-12-09 14:35:21,20.23 °C
2023-12-09 14:35:22,20.27 °C
2023-12-09 14:35:23,20.31 °C
2023-12-09 14:35:24,20.35 °C
2023-12-09 14:35:25,20.38 °C
2023-12-09 14:35:26,20.42 °C
2023-12-09 14:35:27,20.46 °C
2023-12-09 14:35:28,20.50 °C
2023-12-09 14:35:29,20.53 °C
2023-12-09 14:35:30,20.57 °C
2023-12-09 14:35:31,20.61 °C
2023-12-09 14:35:32,20.65 °C
2023-12-09 14:35:33,20.68 °C
2023-12-09 14:35:34,20.72 °C
2023-12-09 14:35:35,20.76 °C
2023-12-09 14:35:36,20.80 °C
2023-12-09 14:35:37,20.83 °C
2023-12-09 14:35:38,20.87 °C
2023-12-09 14:35:39,20.91 °C
2023-12-09 14:35:40,20.95 °C
2023-12-09 14:35:41,20.98 °C
2023-12-09 14:35:42,21.02 °C
2023-12-09 14:35:43,21.04 °C
2023-12-09 14:35:44,21.05 °C
2023-12-09 14:35:45,21.06 °C
2023-12-09 14:35:46,21.08 °C
2023-12-09 14:35:47,21.09 °C
2023-12-09 14:35:48,21.10 °C
2023-12-09 14:35:49,21.11 °C
2023-12-09 14:35:50,21.13 °C
2023-12-09 14:35:51,21.14 °C
2023-12-09 14:35:52,21.15 °C
2023-12-09 14:35:53,21.16 °C
